county,site_number,date_visited,applicant,damage_location,damage_description,local_estimate,fema_validated,change_notes,unvalidated,,,,,
ERIE,5,11/8/2019,Erie County,"Isle View Park/Marina 
800 Niagara St.
Tonawanda (T)
43.0103, -78.9074 ","Strong wind & high water washed away 16 sections of dock/walkway from the steel piling. The sections are 16'l x 5 1/2 'wx 12""h. They are constructed with 6-2""x 10""'s stringers and 8- 2"" x 8"" decking.  There is a 20"" detachable walkway that leads from land to the dock/walkway which was not damaged.","$150,000","$75,000",,,,,,,
ERIE,6,11/8/2019,Erie County,"Botanical Gardens
2X51 South Park Ave, Buffalo
42.8281, -78.8261",High winds lifted the edge of the top row of specialized greenhouse glass panels that are air operated and damaged beyond repair (bldg. 8D). Estimate per County Eng.,"$10,000","$10,000",,,,,,,
ERIE,7,11/8/2019,Erie County,"Erie Basin Marina
42.8844, -78,8905","On the marina access road, northen end roundabout, high wind driven wave action caused the asphalt surface to lift off intermittingly and lifted concrete curbing (Cat C - $7,500). Also, deposited approx. 75 cy of woody debris (Cat A - $2,500).","$10,000","$10,000",,,,,,,
ERIE,8,11/8/2019,Town of Evans,"Sturgeon Point Marina
618 Sturgeon Point Rd.
42.6909, -79.0472","The Sturgeon Point Marina was heavily damaged by high wind driven wave action depositing approx. 300 cy of woody debris throughout the facility ($100,000) and deposited approx. 20,000 cy of sand/sediment ($300,000) essentially closing off the marina entrance/exit to the lake.","$400,000","$318,000",,,,,,,
ERIE,9,11/8/2019,Town of Evans,"Point Breeze Beach
9568 Old Lake Shore Rd, Angola
42.6253,-79.0947","High wind driven lake waters pushed lake sand & sediment across the beach front and reconfigured the stream water flowing into the lake. The pedestrian bridge, across the stream, concrete abutments were undermined below the bottom of the concrete  weakening the structure.","$300,000","$300,000",,,,,,,
ERIE,10,11/8/2019,Town of Hamburg,"Hoover Rd near 4100 Lake Shore Rd 42.7735, -78.8639","Wind and wind driven waves upheaved concrete walkway (30'L x 10'Wx 16"" D), along with armoring and removed approx. 80' L x 2' W x 2' D of shoulder north of the walkway along Hoover Rd.","$60,000",,,,,,,,
ERIE,11,11/8/2019,Town of Hamburg,"151 Mid-Shore Dr.
42.7793, - 78.8588",This vacant lot is owned by the Town of Hamburg. The concrete retaining wall and slab were undermined and lifted from the strong wind driven waves. The damaged area is 40' L x 20' W x 10' D- doubled.,"$150,000","$209,000",,,,,,,
ERIE,12,11/8/2019,Town of Hamburg ,"152 Mid-Shore Dr.
42.7791, -78.8594",The area surrounding a drain sewer in the street was undermined. ,"$7,500","$8,500",,,,,,,
ERIE,13,11/20/2019,Town of Hamburg,Hoover Beach Association,"Debris Removal from town of Hamburg Park (7500 cy of debris) (on the lake) NYSDHSES estimated damages, site was not visited by FEMA.","$25,000","$25,000",,,,,,,
ERIE,14,11/20/2019,Town of Hamburg,"Hamburg Town Park
4420 Lake Shore Road
42.764674, -78.877587",Dredging of the boat ramps (launches) at the north end of the town park.,"$60,000","$60,000",,,,,,,
ERIE,15,11/20/2019,Town of Hamburg,"Hamburg Town Park
4420 Lake Shore Road
42.764674, -78.877587","Debris Removal from town of Hamburg Park (7500 cy of debris) (on the lake) NYSDHSES estimated damages, site was not visited by FEMA.","$150,000","$150,000",,,,,,,
 ESSEX,1,11/14/2019,Essex County DPW,"CR24 Hoffman Rd
43.8415, -73.7864",Roadway undermining & repair with ditching; 345 lf of road; road open to one lane,"$25,000",,,,,,,,
 ESSEX,2,11/14/2019,Essex County DPW,"CR24 Hoffman Rd
43.8248, -73.9203",Roadway undermining & repair with ditching; 275 lf of road; road open to one lane,"$55,000",,,,,,,,
 ESSEX,3,11/15/2019,Essex County DPW,"CR34 Trout Brook Rd
43.7767, -73.8992 
(Adjacent to county bridge, BIN 3302720); In Minerva (T)",Ditching and shoulder repairs (approx. 200' L x 4' W x2' D); asphalt patching still needs to be addressed.,"$35,000",,,,,,,,
 ESSEX,4,11/14/2019,Essex County DPW,"CR4 Ensign Pond Rd
44.0388, -73.5733","Temporary repairs to 50' of embankment, 30' deep with riprap and stones","$25,000",,,,,,,,
 ESSEX,5,11/14/2019,Essex County DPW,"CR4 Ensign Pond Rd
44.0388, -73.5733",Engineer estimate of slope failure (see entry above); retaining structure or sheetpiling needed.,"$394,000",,,,,,,,
 ESSEX,6,11/14/2019,Essex County DPW,"CR4 Ensign Pond Rd
Entire length of road","Misc shoulder washouts, ditch & pavement repairs; entire length of road (12.59 Mi.)","$10,000",,,,,,,,
 ESSEX,7,11/15/2019,Essex County DPW,"CR43 Shore Airport Rd
(In Ticonderoga);
Pipe 1: 43.8711, -73.4014
Pipe 2:  43.8785, -73.3982
Pipe 3:  43.8863, -73.4035",One section of 5' HDPE pipe added at the inlet and outlet ends on two of the pipes. Downstream ditching and riprap added. Work done by a contractor (80% complete). ,"$138,000",,,,,,,,
 ESSEX,8,11/14/2019,Essex County DPW,"CR6 Tracy Rd
44.0763, -73.6531",400 lf of shoulder & pavement undermining with ditching; culvert and asphalt repair; 80% complete by contractor.,"$32,000",,,,,,,,
 ESSEX,9,11/14/2019,Essex County DPW,"CR6 Tracy Rd
44.0784, -73.6077","6' diameter culvert washout; 1000' of road repair and ditchwork, with riprap by contract; 100% complete. ","$170,000",,,,,,,,
 ESSEX,10,11/14/2019,Essex County DPW,"CR6 Tracy Rd
44.0903, -73.5392",Culvert washout; 100' of road and ditch repairs; FA labor & contractor; 90% complete,"$30,000",,,,,,,,
 ESSEX,11,11/14/2019,Essex County DPW,"CR6 Tracy Rd
entire length of road","Misc shoulder washouts, ditch & pavement repairs; entire length of road (7.73 Mi.)","$10,000",,,,,,,,
 ESSEX,12,11/14/2019,Essex County DPW,"CR78 Johnson Pond Rd
43.9492, -73.7051",Pavement undermining and shoulder work needed for 75'; FA labor,"$20,000",,,,,,,,
 ESSEX,13,11/14/2019,Essex County DPW,"CR78 Johnson Pond Rd
43.9561, -73.7227","Culvert, underdrain installation, 500' (approx) of road failure; FA labor, 90% complete","$45,000",,,,,,,,
 ESSEX,14,11/14/2019,Essex County DPW,"CR78 Johnson Pond Rd
Entire length of road","Misc shoulder washouts, ditch & pavement repairs for entire road (3.18 miles); FA labor","$30,000",,,,,,,,
 ESSEX,15,11/14/2019,Essex County DPW,"Lobdell Bridge
BIN 3301640 
44.1897, -73.6146",West side bridge abutment washout and failure; Panel type bridge being repaired by contractor; Lobdell Lane,"$50,000",,,,,,,,
 ESSEX,16,11/15/2019,Town of Minerva,"Gochie Rd
43.7767, -73.8992",Road washout; 90' L x 20' W x 2' D. FA labor and equipment used in repair. Gravel road.,"$10,000","$10,000",,,,,,,
 ESSEX,17,11/15/2019,Town of Minerva,"Northwoods Club Rd
43.8132, -74.0392
43.8108, -740144                ",2 culverts replaced; gravel backfill with asphalt pavement. Work done by FA labor with private haul trucks. ,"$35,000","$35,000",,,,,,,
 ESSEX,18,11/15/2019,Town of Minerva,"Northwoods Club Rd
43.8178, -74.0527",3 miles of road with intermittent damages; 2 areas of slope failures. Work is about 20% done.,"$100,000","$100,000",,,,,,,
 ESSEX,19,11/15/2019,Town of Minerva,"Ridge Rd
43.7903, -74.0185","Culvert washed out (6' diameter); gravel backfill, 40' L x 20' W","$20,000","$20,000",,,,,,,
 ESSEX,20,11/15/2019,Town of Minerva,"Ridge Rd
43.8007, -73.9967","Two areas of road washouts, each about 500' long. Some undermining of the road with shoulder and ditch damages. One section is gravel and one is paved. FA labor with private haul trucks used.","$40,000","$40,000",,,,,,,
 ESSEX,,11/18/2019,Essex County DPW,"CR 69, Hulls Falls Rd, Town of Keene, GPS coordinates taken near the midpoint of the road; 44.2437, -73.7986",Entire road affected with misc shoulder washouts and roadway undermining.,"10,000",,,,,,,,
 ESSEX,,11/18/2019,Town of Elizabethtown,"Brainards Forge Rd, 400' north of the NYS Rte 9N intersection; 44.2107, -73.5321",20' section of 3' hdpe pipe replaced by a contractor. Shoulder washout (about 40' long) with slope failure 25' W x 15' H x 3' D; pavement undermining and patched.,"25,000","$25,000",,,,,,,
 ESSEX,,11/18/2019,Town of Westport,"Mtn Spring Rd, entire length of road affected","Contractor estimate for repairs to the gravel road which included gravel, culverts to be replaced and extensive ditching to be done. Due to the recent snow in the area, accessibilty to visit the site was not possible.","57,500","$57,500",,,,,,,
 ESSEX,,11/18/2019,Essex County DPW,"CR 44, Stevenson Rd, 5 sites identified; intermittent damage sites for the length of the road.","Site A: 44.1548, -73.4506, 6' CMP was not damaged but the up and downstream ends were washed out.   Site B: 44.1748, -73.4493, 3' hdpe pipe replaced with gravel &  pavement patch. Site C: 44.1292, -73.4503, 2' hdpe pipe replaced with gravel & pavement patching. Site D:44.1268, -73.4491, 2'hdpe pipe replaced with gravel & pavement patching. Site E: 44.1192, -73.4493, 30"" hdpe pipe replaced with gravel & pavement patching.","30,000",,,,,,,,
 ESSEX,,11/18/2019,Town of Moriah,"Port Henry Campground and Beach, at the end of Dock Lane on Lake Champlain; ",Extensive beach sand erosion throughout the campground property. Estimate of 4000 CY of material needed; some electric lines are now exposed on the property; additional damages may be present when the area is opened in the spring '20. Extensive sedimentation in Lake Champlain will be need to be addressed.,"250,000","$165,000",,,,,,,
 ESSEX,,11/18/2019,Town of Moriah,"Dock Lake, 44.0524, -73.4557, East of NYS Rte 9N (north end of the Hamlet of Port Henry).",Road washout by a lift station. No apparent damages to the lift station. Approx. 40' L x 4' D x 20' W.,"25,000","$25,000",,,,,,,
 ESSEX,,11/18/2019,Essex County DPW,"CR 54, Pilfershire Road, entire length of road affected (approx. 3 miles); 44.0796, -73.4915 coordinates taken by the Cheney Rd intersection.",Intermittent shoulder washouts with some pavement repairs needed.,"22,000",,,,,,,,
 ESSEX,,11/18/2019,Essex County DPW,"CR 70, Witherbee Rd, 44.0898, -73.5373",Roadway undermining (40' L x 3' W x 3' D) and washout with a slope failure (12' H x 25' L x 3' D; with pavement patching (4' W x 30' L).,"30,000",,,,,,,,
 ESSEX,,,,,"1. CR6 Tracy Rd 44.0763, -73.6531 400 lf. of shoulder & pavement undermining with ditching; culvert and asphalt repair; 80% complete by contractor.
2. CR6 Tracy Rd 44.0784, -73.6077 6' diameter culvert washout; 1400' of road repair and ditchwork, with riprap by contract; 100% complete. Second culvert added, culvert 3 foot diameter to 6 foot diameter installed.
3. CR6 Tracy Rd 44.0903, -73.5392 Culvert washout; 100' of road and ditch repairs; FA labor & contractor; 90% complete - location is at Roe Pond, 4 foot diameter pipe reset.
4. CR6 Tracy Rd entire length of road Misc shoulder washouts, ditch & pavement repairs; entire length of road (7.73 Mi.)
5. CR78 Johnson Pond Rd Entire length of road Misc shoulder washouts, ditch & pavement repairs for entire road (3.18 miles); FA labor Lobdell Bridge
6. BIN 3301640  44.1897, -73.6146  West side bridge abutment washout and failure; Panel type bridge being repaired by contractor; Lobdell Lane Abutment repair, adding additional steel deck panels to lengthen temporary bridge - questions regarding contractor responsibility - unsure.
7. CR 44, Stevenson Rd, 5 sites identified; intermittent damage sites for the length of the road. Site A: 44.1548, -73.4506, 6' CMP was not damaged, but the up and downstream ends were washed out.   Site B: 44.1748, -73.4493, 3' HDPE pipe replaced with gravel & pavement patch. Site C: 44.1292, -73.4503, 2' HDPE pipe replaced with gravel & pavement patching. Site D:44.1268, -73.4491, 2'HDPE pipe replaced with gravel & pavement patching. Site E: 44.1192, -73.4493, 30 HDPE pipe replaced with gravel & pavement patching. Note: validation supplied for work completed thus far - 24K before fringe.
8. CR 54, Pilfershire Road, entire length of road affected (approx. 3 miles); 44.0796, -73.4915 coordinates taken by the Cheney Rd intersection. Intermittent shoulder washouts with some pavement repairs needed.
9. CR 70, Witherbee Rd, 44.0898, -73.5373 Roadway undermining (40' L x 3' W x 3' D) and washout with a slope failure (12' H x 25' L x 3' D; with pavement patching (4' W x 30' L).",,"$404,000",,,,,,,
 ESSEX,,,,,"1. CR24 Hoffman Rd - 43.8415, -73.7864 - Roadway undermining & repair with ditching; 345 lf of road; road open to one lane
2. CR24 Hoffman Rd - 43.8248, -73.9203 - Roadway undermining & repair with ditching; 275 lf of road; road open to one lane
3. CR34 Trout Brook Rd - 43.7767, -73.8992 (Adjacent to county bridge, BIN 3302720); In Minerva (T) - Ditching and shoulder repairs (approx. 200' L x 4' W x2' D); asphalt patching still needs to be addressed.
4. CR4 Ensign Pond Rd - 44.0388, -73.5733 - Temporary repairs to 50' of embankment, 30' deep with riprap and stones (might be federal highway road) Applicant estimates $25,000
5. CR4 Ensign Pond Rd 44.0388, -73.5733 - Engineer estimate of slope failure (see entry above); retaining structure or sheetpiling needed (might be federal highway road) Applicant estimates $394,000
6. CR4 Ensign Pond Rd Entire length of road - Misc shoulder washouts, ditch & pavement repairs; entire length of road (12.59 Mi.) (might be federal highway road) Applciant estimates $10,000
7. CR43 Shore Airport Rd (In Ticonderoga);  Pipe 1: 43.8711, -73.4014 Pipe 2:  43.8785, -73.3982
Pipe 3:  43.8863, -73.4035 - One section of 5' HDPE pipe added at the inlet and outlet ends on two of the pipes. Downstream ditching and rip-rap added. Work done by a contractor (80% complete). (might be federal highway road) Applicant estimates $138K but it is not included in this total
8. CR78 Johnson Pond Rd 43.9492, -73.7051 - Pavement undermining and shoulder work needed for 75'; FA labor
9. CR78 Johnson Pond Rd 43.9561, -73.7227 - Culvert, underdrain installation, 500' (approx) of road failure; FA labor, 90% complete
10. CR 69, Hulls Falls Rd, Town of Keene, GPS coordinates taken near the midpoint of the road; 44.2437, -73.7986
Entire road affected with misc shoulder washouts and roadway undermining.",,"$190,000",,,,,,,
 ESSEX,,11/22/2019,Town of Schroon,"Emerson Road, approx. 800' north of CR 24, the Hoffman Road.","2, 4' diameter x 40' long culverts destroyed in a triple pipe water passage. Temporary repairs done with  pipes obtained from Essex County DPW. ","$15,000",,,,,,,,
 ESSEX,,11/22/2019,Town of Schroon,"Emerson Road, approx. 800' north of CR 24, the Hoffman Road.",The permanent repair may require the installation of a box culvert or even a bridge.,"$100,000",,,,,,,,
 ESSEX,,11/22/2019,Town of Schroon,"Beech Hill Road, beginning at CR 24, the Hoffman Road heading south for about .3 of a mile.",Intermittent damages to the gravel road to a depth of 3' and up to 10' wide through the 1500 feet of road affected. Estimated that 50% of the work has been done.,"$10,000",,,,,,,,
 ESSEX,,11/22/2019,Town of Schroon,"Adirondack Road, beginning at about .5 miles south of the Crane Pond Road intersection for approx. 300'.","300' Long x 10' wide x (8' to 10') depth of road washed out. Temporary repairs to the ditches, shoulders and road done to open the road. Work is to continue next spring including pavement rocklining the ditches and additional gravel.","$50,000",,,,,,,,
 ESSEX,,11/22/2019,Town of Schroon,River Rd (north end); 500' east of NYS Route 9,"6' diameter corrugated metal pipe, 40' long being installed. Excavation is 30'x20'x12'. Pipe is on site ready to be installed, which is expected to be completed next week.","$20,000",,,,,,,,
 ESSEX,,11/22/2019,Town of North Hudson,"Pepper Hollow Road, west end of the road, adjacent to the Schroon River. About .75 miles west of Route 9.",Approx. 600' of road and shoulder intermittently damaged by the flood.,"$10,000",,,,,,,,
 ESSEX,,11/22/2019,Town of Moriah,"Chipmunk Lane, beginning about .5 miles west of CR 70 and continuing for .6 miles.",.6 miles x 6' wide x 3' deep washout of the gravel road. About 80% of the repairs have been done. ,"$40,000",,,,,,,,
 ESSEX,,11/22/2019,Town of Moriah,"Crowfoot Lane, 1.5 miles of the road was damaged intermittently beginning at the east end.",About 6' of the 18' wide road was damaged of up to 2' deep. Additional work needs to be done in the spring.,"$75,000",,,,,,,,
 ESSEX,,11/26/2019,Essex County DPW,"CR 25, Upper Works Rd (Newcomb)  Begin:44.0812,-74.0553   End:44.0609, -74.0631 ",Intermittent shoulder and Ditch washouts; approx. 30% complete. Up to 2' of undermining of the pavement.    Culvert replacement (2' diameter x 40' hdpe) with 26' x 20' asphalt patching.   Culvert installed by a contractor. Town of Newcomb did some emergency work here.,"$50,000",,,,,,,,
 ESSEX,,11/26/2019,Essex County DPW,"CR 25, Tahawus Rd (Newcomb)  43.5970, -74.0544",Shoulder repair and a slope failure (30' x 15' x 10 '); stone obtained from the mine up the road. All work done by a contractor.  Town of Newcomb did some emergency work here.,"$30,000",,,,,,,,
 ESSEX,,11/26/2019,Essex County DPW,"CR 84, Blue Ridge Rd, Forever Wild Section  Begin:43.9442, -73.9520                                 End:43.9482, -73.9383","Intermittent shoulder and ditch washouts; south side of road. Some undermining of the pavement; erosion up to 2' deep. Estimate, 20% complete. Repairs done by force account and town crews. This is a Federal Aid road. - $30,000",,,,,,,,,
 ESSEX,,11/26/2019,Town of Moriah,"Lang Rd, 44.0093, -73.4887",Seasonal gravel road approx .4 miles long. 0% complete; force account labor and equipment to be used in the repair. Regrading of road and ditching needed.,"$15,000",,,,,,,,
 ESSEX,,11/26/2019,Town of Moriah,"Silver Hill Rd, 44.0769, -73.5395","Force account labor and equipment along with a contractor. Road edge undermining with shoulder washout and ditch erosion. Road washout up to 3' deep. Roadway patch 10' x 100' x 4"" thick of asphalt. 50% complete.","$15,000",,,,,,,,
 FULTON,1,11/12/2019,Town of Caroga,"Kasson Road
43.168542, -74.506634",Culvert Road Shoulder Damage,"2,000.00","$2,000",,,,,,,
 FULTON,2,11/12/2019,Town of Caroga,Townwide,Debris Removal ,"3,000.00","$3,000",,,,,,,
 FULTON,3,11/12/2019,Town of Caroga,"Fisher Road
43.129604, -74.449000 ",Culvert Damage  Road and shoulder Damage,"2,000.00","$2,000",,,,,,,
 FULTON,4,11/12/2019,Town of Caroga,"Putnam Road
43.127562, -74.455176 ",Culvert Damage  Road and shoulder Damage,"2,000.00","$2,000",,,,,,,
 FULTON,5,11/12/2019,Town of Johnstown,"Pecks Lake Road (south Shore)
43.102730, -74414143 ",Culvert Damage  Road and shoulder Damage,"10,000.00","$7,000",,,,,,,
 FULTON,6,11/12/2019,Town of Stratford,"Voorhees Road
43.149383, -74.707426 ","Slope Failure Measuring 80LFx40LF120LF D
[Updated 11/15; see estimate for proposed repair] East Canada Creek cut into toe of 150� high roadway embankment slope causing erosion up to the edge of roadway for approximately 500� along road. Road currently restricted with concrete blocks to one-way traffic.","400,000.00","$350,000",Unsure if these costs are allowed to be captured at theis time,,,,,,
 FULTON,7,11/12/2019,Town of Stratford,"Edick Road
43.217637, -74.695380 ","Culvert Washout Headwal Collapse Bridge Damage 
[Updated 11/15; see estimate for proposed repair] South abutment scoured, undermined and settled approximately 1� . Fill placed on deck to provide limited and temporary access.","200,000.00","$50,000",Original estimate was based the entire damages,,,,,,
 FULTON,8,11/12/2019,Town of Stratford,"Hawes Road
(2 sites) ","1: Bridge: [Updated 11/15; see estimate for more details.] Approximately 100� by 3� deep of approach roadway washed away at east abutment. Approximately 10� of bridge deck missing, with additional 4� wide panel dislodged. Numerous stringers bent due to debris carried by high water. Approximately 10� diameter by 20� long tree lodged in upstream truss members.
2: Culvert Washed out","95,000.00","$95,000",,,,,,,
 FULTON,9,11/12/2019,Town of Stratford,850 Piseco Road,Shoulder Washout Ditch eshape 70LFx4x2FT D,"2,000.00","$2,000",,,,,,,
 FULTON,10,11/12/2019,Town of Stratford,1228 Piseco Road,Shoulder Washout Asphalt Damage 80LFx8LFx2FT D,"3,000.00",,,,,,,,
 FULTON,11,11/12/2019,Town of Stratford,"Piseco Road Bridge
43.254444, -74.653962 ","[Updated 11/15; see estimate for more details.] Downstream southeast wingwall undermined, separated from east abutment and lays face first in stream, exposing laid-up stone abutment behind concrete facing. Abutment is undermined more than 2� in vertical depth at corner. Remainder of abutment cannot be accessed due to high water, but is assumed to be compromised.","300,000.00","$300,000",,,,,,,
 FULTON,12,11/12/2019,Town of Stratford,"Piseco Road  Beginning
43.256656, -74.654264 ",Road Damage along the entire road most of which were not accessible ,"350,000.00","$350,000",,,,,,,
 FULTON,13,11/12/2019,Town of Stratford,"975 Piseco Road
43.121849, -734757185 ",Shoulder Washout/Pavement Damage 60LFx5x2FT D,"2,000.00","$2,000",,,,,,,
 FULTON,14,11/12/2019,Town of Stratford,"Seeley Road Site 1
43.208801, -74.661020 ",Shoulder Washout 75LFx4LFx2FT D,"1,500.00","$1,500",,,,,,,
 FULTON,15,11/12/2019,Town of Stratford,"Seely Road Site 2
43.204524, -74657644 ",Shoulder Washout 50LFx4LFx2FT D,"3,000.00","$3,000",,,,,,,
 FULTON,16,11/12/2019,Town of Stratford,"Red House Road
43.191528, -74678192 ",Shoulder Damage Headwall Damage ,"1,200.00","$1,200",,,,,,,
 FULTON,17,11/12/2019,Town of Stratford,"Dugway and Pesico Road
43.190833, -74.680472 ",Headwall Culvert Damage,"1,200.00","$1,200",,,,,,,
 FULTON,18,11/12/2019,Town of Stratford,"Hadcock Road
43.156898, -74.676287 ",Shoulder Damage 100 LFx4LFx1FTD,"2,000.00","$2,000",,,,,,,
 FULTON,,11/21/2019,Town of Ephratah,Townwide,"Town Wide debris - Claimed amount $7,500",,"$7,500",,,,,,,
 FULTON,,11/21/2019,Fulton County,County Wide,"County Wide debris - Claimed amount $ 32,461.00",,"$32,461",,,,,,,
 FULTON,,11/21/2019,Town of Mayfield,,"Damages to gravel roads, culvert ,and shoulder wash outs at Tolmontown rd, Grey Rd, and  Tyrell Hill rd, in the Town of Mayfield - Claimed amount  by town is unknown  at this time and amount will be coming.",,,Estimates to come at a later date Damages were ,,,,,,
 FULTON,,11/21/2019,Town of Northampton,Giffords Collins Road ,"Damages to gravel roads, culvert ,and shoulder wash outs at Gillfords Collins rd ,and  Houseman st, in the Town of Northampton   - Claimed amount  (estimate $7,500)
 Site not visited by FEMA personnel.",,"$7,500",,,,,,,
 FULTON,,11/21/2019,Town of Northampton,Houseman St,"Road/Culvert Washout 3 Culverts 40LFx2LFx24 Inch Culvert x3 culverts and associated road damage
(estimate $7,500)",,"$7,500",,,,,,,
 FULTON,,11/21/2019,Town of Stratford,EddickRoad,approximately two miles of sparadic road damage/culvert and bridge damage  (not accssesible),,"$5,000",Cost will increase once access can be gained to this area for a more accurate estimate,,,,,,
HAMILTON,1,11/7/2019,Hamilton County,"CR16 Gilmantown Road
43-23-59, 74-17-17
(degree-min-sec)","2 1/2 mile total length. 1 1/2 miles road totally destroyed. Road was reconstructed last summer. Road runs along Elbow Creek. Would like toconsider mitigation
Some washouts under bridge abutments. Will need slope protection on slopes.","$700,000","$100,000",,,,,,,
HAMILTON,2,11/7/2019,Hamilton County,"CR 5 Algunquon Road
X Abrams road",Downstream of dam outlet. Water overtopped bridge. Erosion at bridge and banks. Damaged waterline on bridge.,"$25,000",,,,,,,,
HAMILTON,3,11/7/2019,Hamilton County,"CR 8 Griffen Road
43.446005, -74.252","1/2 mile of road totally washed out, full width and depth. Old route 30. 2 1/2 mile intermittent damage.","$400,000",,,,,,,,
HAMILTON,4,11/7/2019,Hamilton County,"Culvert over Charley lake outlet
43.453418, -74.310785","Culvert damage, abutments undermined. County responsible for town culverts/bridges over 12 ft.","$75,000",,,,,,,,
HAMILTON,5,11/7/2019,Hamilton County,"CR 11 South Shore Road
43.463324, -74.387444","Intermittent damage in ditches and complete lane damaged. Culvert washouts, mostly damage on ends.","$400,000",,,,,,,,
HAMILTON,6,11/7/2019,Hamilton County,"Haskel Road Bridge
43.458979, -74.5215",County Bridge on town road. Abutments washed out.,"$750,000","$350,000",,,,,,,
HAMILTON,7,11/7/2019,Hamilton County,CR 24 Old Pisceo Road,"Intermittent Damage; culverts overtoped by several feet, washed out one side, ditch erosion.","$25,000",,,,,,,,
HAMILTON,8,11/7/2019,Hamilton County,"Fayle Road Bridge
43.398313, -74.765511",Bridge closed. Truss bridge overtopped by several feet. Washed out one side. Bridge over West Canada Creek.,"$1,000,000","$450,000",,,,,,,
HAMILTON,9,11/7/2019,Hamilton County,CR 17 French Raod,Intermittent washouts and ditch erosion. Culvert ends eroded.,"$5,000",,,,,,,,
HAMILTON,10,11/7/2019,Hamilton County,"Four mile Bridge
43.379159, -74.758854","Eroded abutments. - Volume and velocity of floodwaters in an unidentified watercourse severely scoured the cast in place abutments, and wing walls.Applicant to provide Bridge Inspection Reports. (Costs Provided by NYSDHSES)","$100,000","$100,000",,,,,,,
HAMILTON,11,11/20/2019,Town of Hope,"River Road
see map","River rose and created approx 2500 ft of intermittent damage (road wahed out 1.5 ft deep) over a 3.1 mile road. Significant road washouts and damage, and bank erosion of slopes to Sacandaga river","113,849",,,,,,,,
HAMILTON,12,11/20/2019,Town of Hope,Hope Falls (or Mason road),"Intermittent damage from flood water coming off hill. Damaged a couple hundred over 0.4 miles. Various pavement damage, and a slope failure (eroded gulley) ","44,806",,,,,,,,
HAMILTON,13,11/20/2019,Town of Hope,Bear Creek Road,Flooding caused major pavement washout for 400 feet. ,"28,295",,,,,,,,
HAMILTON,14,11/20/2019,Town of Hope,Moan and Groan Road,Flooding caused major pavement washout ( I ft deep) of road and culverts ,"18,024",,,,,,,,
HAMILTON,15,,,,,,,,,,,,,
HAMILTON,16,11/20/2019,Town of Hope,Creek Road,Shoulder washouts - Additional damages not inspected but  applicant provided paperwork ,"5,790",,,,,,,,
HAMILTON,17,11/20/2019,Town of Hope,Edwardsen Rd,Shoulder washouts -Additional damages not inspected but  applicant provided paperwork ,"2,285",,,,,,,,
HAMILTON,18,11/20/2019,Town of Hope,Frasier Rd,Pavement erosion - Additional damages not inspected but  applicant provided paperwork ,"9,810",,,,,,,,
HAMILTON,19,11/20/2019,Town of Hope,Tannery Road,Pavement erosion - Additional damages not inspected but  applicant provided paperwork ,"1,862",,,,,,,,
HAMILTON,20,11/21/2019,Town of Wells ,West River Road over Dugway Creek,Culvert overtoped 6 ft by 15 ft Arch culvert and destraoyed. Temp placed two 3 ft culverts for traffic,"$100,000",,,,,,,,
HAMILTON,21,11/21/2019,Town of Wells ,West River  ,Flooding caused intermittent  road damage on dirt road over a 3 mile distance,"$125,000",,,,,,,,
HAMILTON,22,11/21/2019,Town of Wells ,West Road over White House creek ,3 ft culvert overtopped ,"$25,000",,,,,,,,
HAMILTON,23,11/21/2019,Town of Wells ,Black Bridge Raod,River overtopped banks and damaged Road. Approx 1000 ft of dirt road,"$25,000",,,,,,,,
HAMILTON,24,11/21/2019,Town of Wells ,Hernandez Road,Dirt Road. River rose and flooded road for approx. 1 mile. Significant erosion. ,"$75,000",,,,,,,,
HAMILTON,25,11/21/2019,Town of Wells ,Kruth Road ,Sacandaga River rose and floode dirt road for aprox 1 mile. Significant erosioon,"$25,000",,,,,,,,
HAMILTON,26,11/21/2019,Town of Wells ,Teachout Raod,Dirt road. Eroded. Home made bridge over ?? Creek destroyed. Road closed,"$2,500",,,,,,,,
HAMILTON,27,11/21/2019,Town of Wells ,Hydroelectric Plant,Bottom floor flooded. Turbines covered in water. Parking lot destroyed and slopes along river damaged. Aprons in front of dam need repair.,"$500,000",,,,,,,,
HAMILTON,28,11/21/2019,Town of Wells ,Town of Wells Water District,6 inch water line 120 ft long destroyed by flood water overtopping Algonquin Bridge,"$125,000","$100,000",Damages to waterline on bridge and erosion on the East side of the shoreline.  FEMA has this listed as Hamilton County,,,,,,
HAMILTON,29,11/21/2019,Village of Speculator,"Elm Lake Road (East Road)
43.5190 , -74.3482",Intermittent damage of dirt road. Various culverts overtopped and eroded and additional sections of  road washedd out. Five sections damaged totaling 750 ft.. Raod eroded 1 to 4 ft deep.,"$75,000",,,,,,,,
HAMILTON,30,11/21/2019,Village of Speculator,"Marin road
43.4976 , -74.3660","Paved road. New 3 sided culvert overtopped. Pavement OK but shoulders and guiderail eroded. Giuderail reset. Channel eroded and ""seed sock"" erosion protection linings destroyed , bottom of culvert  eroded of stone lining. Snd upstream channel sides eroded.","$5,000",,,,,,,,
HAMILTON,31,11/21/2019,Village of Speculator,"Town Park- Beach and Point. 
43.4958 , -74.3598","Lake level rose and eroded beach and park shoreline. Picnic area on pointhad similar erosion. ""seed socks"" damaged and need replacement.","$50,000",,,,,,,,
